startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_right_web_site_url,startup_valid_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_address,startup_phrasechoc,error
Teamstarter lance l’Assistant d’idéation et l’Assistant rédactionnel,7 millions d'euros en 2019,10/06/2024,https://www.jaimelesstartups.fr/news/teamstarter-lance-lassistant-dideation-et-lassistant-redactionnel/,Levée de fonds : 7 millions d'euros en 2019,,Nombre d'employés : 35,https://teamstarter.com%20/?utm_source=JaimeLesStartups,https://teamstarter.com%20/?utm_source=JaimeLesStartups,False,https://www.linkedin.com/company/teamstarter/,https://www.facebook.com/teamstarterapp,https://www.instagram.com/teamstarter.co/,,,,TEAMSTARTER LANCE UN ASSISTANT D’IDEATION POUR STIMULER LA PARTICIPATION DE TOUS LES PROFILS DE COLLABORATEURS DANS L’ENTREPRISE ET DÉVELOPPER L’INNOVATION GRÂCE A L’INTELLIGENCE ARTIFICIELLE,"Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=122.0.6261.69)
Stacktrace:
#0 0x559a009ab793 <unknown>
#1 0x559a0069f1c6 <unknown>
#2 0x559a006971e3 <unknown>
#3 0x559a006871cb <unknown>
#4 0x559a00688625 <unknown>
#5 0x559a006874e5 <unknown>
#6 0x559a006863e9 <unknown>
#7 0x559a00686274 <unknown>
#8 0x559a00684cf4 <unknown>
#9 0x559a0068528a <unknown>
#10 0x559a006a197e <unknown>
#11 0x559a0072b985 <unknown>
#12 0x559a0070c3d2 <unknown>
#13 0x559a0072add9 <unknown>
#14 0x559a0070c173 <unknown>
#15 0x559a006dd2d3 <unknown>
#16 0x559a006ddc9e <unknown>
#17 0x559a0096f8cb <unknown>
#18 0x559a00973745 <unknown>
#19 0x559a0095c2e1 <unknown>
#20 0x559a009742d2 <unknown>
#21 0x559a0094017f <unknown>
#22 0x559a00999dc8 <unknown>
#23 0x559a00999fc3 <unknown>
#24 0x559a009aa944 <unknown>
#25 0x7fcaedecaac3 <unknown>
"
Aloen annonce une première levée de fonds de 410 K€ pour développer son outil de prospection téléphonique,410000,05/04/2024,https://www.jaimelesstartups.fr/news/aloen-annonce-une-premiere-levee-de-fonds-de-410-ke/,Levée de fonds : 410000,"Fondateurs : Randy Ralijaona, Christian Oupoh, Florian Lizon",Nombre d'employés : 7,https://https//www.aloen.ai/?utm_source=JaimeLesStartups,https://https//www.aloen.ai/?utm_source=JaimeLesStartups,False,https://fr.linkedin.com/company/aloenai,,,,,,ALOEN FINALISE UNE PREMIÈRE LEVÉE DE FONDS DE 410 K€,"Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=122.0.6261.69)
Stacktrace:
#0 0x55724fd33793 <unknown>
#1 0x55724fa271c6 <unknown>
#2 0x55724fa1f1e3 <unknown>
#3 0x55724fa0f1cb <unknown>
#4 0x55724fa10625 <unknown>
#5 0x55724fa0f4e5 <unknown>
#6 0x55724fa0e3e9 <unknown>
#7 0x55724fa0e274 <unknown>
#8 0x55724fa0ccf4 <unknown>
#9 0x55724fa0d28a <unknown>
#10 0x55724fa2997e <unknown>
#11 0x55724fab3985 <unknown>
#12 0x55724fa943d2 <unknown>
#13 0x55724fab2dd9 <unknown>
#14 0x55724fa94173 <unknown>
#15 0x55724fa652d3 <unknown>
#16 0x55724fa65c9e <unknown>
#17 0x55724fcf78cb <unknown>
#18 0x55724fcfb745 <unknown>
#19 0x55724fce42e1 <unknown>
#20 0x55724fcfc2d2 <unknown>
#21 0x55724fcc817f <unknown>
#22 0x55724fd21dc8 <unknown>
#23 0x55724fd21fc3 <unknown>
#24 0x55724fd32944 <unknown>
#25 0x7fcf289f8ac3 <unknown>
"
Agatos,500 000 €,26/06/2024,https://www.jaimelesstartups.fr/agatos-ia-specialisee-dans-les-soins-psychologique/,Levée de fonds : 500 000 €,"Fondateurs : Milan Argoud, Alexis Portelli",Nombre d'employés : 14,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Agatos,https://www.e-portelli/?utm_source=JaimeLesStartups,False,http://e-portelli/,,https://agatos.ai/,,,,LA STARTUP AGATOS A CONÇU UNE IA SPÉCIALISÉE DANS LES SOINS PSYCHOLOGIQUE,"Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=122.0.6261.69)
Stacktrace:
#0 0x557d81e01793 <unknown>
#1 0x557d81af51c6 <unknown>
#2 0x557d81aed1e3 <unknown>
#3 0x557d81add1cb <unknown>
#4 0x557d81ade625 <unknown>
#5 0x557d81add4e5 <unknown>
#6 0x557d81adc3e9 <unknown>
#7 0x557d81adc274 <unknown>
#8 0x557d81adacf4 <unknown>
#9 0x557d81adb28a <unknown>
#10 0x557d81af797e <unknown>
#11 0x557d81b81985 <unknown>
#12 0x557d81b623d2 <unknown>
#13 0x557d81b80dd9 <unknown>
#14 0x557d81b62173 <unknown>
#15 0x557d81b332d3 <unknown>
#16 0x557d81b33c9e <unknown>
#17 0x557d81dc58cb <unknown>
#18 0x557d81dc9745 <unknown>
#19 0x557d81db22e1 <unknown>
#20 0x557d81dca2d2 <unknown>
#21 0x557d81d9617f <unknown>
#22 0x557d81defdc8 <unknown>
#23 0x557d81deffc3 <unknown>
#24 0x557d81e00944 <unknown>
#25 0x7f8413c1bac3 <unknown>
"
"Groover lève 7,5 M€ pour sa plateforme dédiée aux artistes indépendants","7,5M€",13/02/2024,https://www.jaimelesstartups.fr/news/groover-leve-75-me-pour-sa-plateforme-dediee-aux-artistes-independants/,"Levée de fonds : 7,5M€",,,https://groover.co/fr/?utm_source=JaimeLesStartups,https://groover.co/fr/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/heygroover/,https://www.facebook.com/HeyGroover/,https://www.instagram.com/groover.music/,,,,"GROOVER LÈVE 7,5M€ EN SÉRIE A POUR OFFRIR UNE PLATEFORME TOUT-EN-UN AUX ARTISTES INDÉPENDANTS ET PROMOUVOIR LEUR MUSIQUE","Message: stale element reference: stale element not found
  (Session info: chrome=122.0.6261.69); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
#0 0x5596ab7a7793 <unknown>
#1 0x5596ab49b1c6 <unknown>
#2 0x5596ab4a059c <unknown>
#3 0x5596ab4a25f2 <unknown>
#4 0x5596ab527de8 <unknown>
#5 0x5596ab5083d2 <unknown>
#6 0x5596ab526dd9 <unknown>
#7 0x5596ab508173 <unknown>
#8 0x5596ab4d92d3 <unknown>
#9 0x5596ab4d9c9e <unknown>
#10 0x5596ab76b8cb <unknown>
#11 0x5596ab76f745 <unknown>
#12 0x5596ab7582e1 <unknown>
#13 0x5596ab7702d2 <unknown>
#14 0x5596ab73c17f <unknown>
#15 0x5596ab795dc8 <unknown>
#16 0x5596ab795fc3 <unknown>
#17 0x5596ab7a6944 <unknown>
#18 0x7f5e63d5dac3 <unknown>
"
LiveMeUp,"1,4 millions",01/12/2023,https://www.jaimelesstartups.fr/livemeup/,"Levée de fonds : 1,4 millions",Fondateurs : Guillaume Faure,Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=LiveMeUp,https://www.livemeup.io/?utm_source=JaimeLesStartups,True,,https://www.facebook.com/livemeup.io/,https://www.instagram.com/livemeup.io/,,,,LA STARTUP LIVEMEUP A CONÇU TOUS LES OUTILS QU’ILS VOUS FAUT POUR FAIRE DU LIVE SHOPING.,"Message: stale element reference: stale element not found
  (Session info: chrome=122.0.6261.69); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
#0 0x55889f3c1793 <unknown>
#1 0x55889f0b51c6 <unknown>
#2 0x55889f0ba59c <unknown>
#3 0x55889f0bc5f2 <unknown>
#4 0x55889f141de8 <unknown>
#5 0x55889f1223d2 <unknown>
#6 0x55889f140dd9 <unknown>
#7 0x55889f122173 <unknown>
#8 0x55889f0f32d3 <unknown>
#9 0x55889f0f3c9e <unknown>
#10 0x55889f3858cb <unknown>
#11 0x55889f389745 <unknown>
#12 0x55889f3722e1 <unknown>
#13 0x55889f38a2d2 <unknown>
#14 0x55889f35617f <unknown>
#15 0x55889f3afdc8 <unknown>
#16 0x55889f3affc3 <unknown>
#17 0x55889f3c0944 <unknown>
#18 0x7f7938543ac3 <unknown>
"
Limited Resell,1 000 000,25/01/2024,https://www.jaimelesstartups.fr/limited-resell-sneakers-en-collection-limitee/,Levée de fonds : 1 000 000,Fondateurs : Mikhael Tordjman et Clément Martinelli,Nombre d'employés : 9,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Limited%20Resell,https://limitedresell.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/limited-resell/?originalSubdomain=fr,https://www.facebook.com/limitedresell/?locale=fr_FR,https://www.instagram.com/limited_resell/?hl=fr,,,,LA STARTUP LIMITED RESELL EST UNE PLATEFORME SPÉCIALISÉE DANS LES SNEAKERS EN COLLECTION LIMITÉE !,"Error code: 429 - {'error': {'message': 'Request too large for gpt-3.5-turbo-1106 in organization org-pEvoLnX7VRodJgoPEzPOgHWT on tokens per min (TPM): Limit 200000, Requested 284871. The input or output tokens must be reduced in order to run successfully. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}"
Sigma Data Corp annonce une levée de fonds d’1M €,1 000 000 €,27/11/2023,https://www.jaimelesstartups.fr/news/sigma-data-corp-annonce-une-levee-de-fonds-d1m-e/,Levée de fonds : 1 000 000 €,Fondateurs : Matthieu Druart & Samuel Stratmains,Nombre d'employés : 30,https://sigmadatacorp.com/?utm_source=JaimeLesStartups,https://sigmadatacorp.com/?utm_source=JaimeLesStartups,False,https://www.linkedin.com/company/datacadabra/,,,,,,"AVEC UNE SECONDE LEVÉE DE FONDS, SIGMA ACCÉLÈRE SA CROISSANCE DANS L’UNIVERS DE LA DATA & DE L’IA","Message: unknown error: net::ERR_CONNECTION_REFUSED
  (Session info: chrome=122.0.6261.69)
Stacktrace:
#0 0x5626d3b46793 <unknown>
#1 0x5626d383a1c6 <unknown>
#2 0x5626d38321e3 <unknown>
#3 0x5626d38221cb <unknown>
#4 0x5626d3823625 <unknown>
#5 0x5626d38224e5 <unknown>
#6 0x5626d38213e9 <unknown>
#7 0x5626d3821274 <unknown>
#8 0x5626d381fcf4 <unknown>
#9 0x5626d382028a <unknown>
#10 0x5626d383c97e <unknown>
#11 0x5626d38c6985 <unknown>
#12 0x5626d38a73d2 <unknown>
#13 0x5626d38c5dd9 <unknown>
#14 0x5626d38a7173 <unknown>
#15 0x5626d38782d3 <unknown>
#16 0x5626d3878c9e <unknown>
#17 0x5626d3b0a8cb <unknown>
#18 0x5626d3b0e745 <unknown>
#19 0x5626d3af72e1 <unknown>
#20 0x5626d3b0f2d2 <unknown>
#21 0x5626d3adb17f <unknown>
#22 0x5626d3b34dc8 <unknown>
#23 0x5626d3b34fc3 <unknown>
#24 0x5626d3b45944 <unknown>
#25 0x7f70b7f0dac3 <unknown>
"
Raw Ventures organise une journée financement pour les média,1 million d'euros,22/06/2023,https://www.jaimelesstartups.fr/news/raw-ventures-organise-une-journee-financement-pour-les-media/,Levée de fonds : 1 million d'euros,Fondateurs : Victoria Palatnik & Renat Lokomet,,https://pitchday.mth-conference.de/?utm_source=JaimeLesStartups,https://pitchday.mth-conference.de/?utm_source=JaimeLesStartups,False,https://www.linkedin.com/company/raw-ventures,,,,,,RAW VENTURES ORGANISE LA PREMIÈRE JOURNÉE DE LEVER DE FONDS POUR LES START-UPS FRANÇAISES DE MEDIATECH,"Message: unknown error: net::ERR_SSL_PROTOCOL_ERROR
  (Session info: chrome=122.0.6261.69)
Stacktrace:
#0 0x55bb84547793 <unknown>
#1 0x55bb8423b1c6 <unknown>
#2 0x55bb842331e3 <unknown>
#3 0x55bb842231cb <unknown>
#4 0x55bb84224625 <unknown>
#5 0x55bb842234e5 <unknown>
#6 0x55bb842223e9 <unknown>
#7 0x55bb84222274 <unknown>
#8 0x55bb84220cf4 <unknown>
#9 0x55bb8422128a <unknown>
#10 0x55bb8423d97e <unknown>
#11 0x55bb842c7985 <unknown>
#12 0x55bb842a83d2 <unknown>
#13 0x55bb842c6dd9 <unknown>
#14 0x55bb842a8173 <unknown>
#15 0x55bb842792d3 <unknown>
#16 0x55bb84279c9e <unknown>
#17 0x55bb8450b8cb <unknown>
#18 0x55bb8450f745 <unknown>
#19 0x55bb844f82e1 <unknown>
#20 0x55bb845102d2 <unknown>
#21 0x55bb844dc17f <unknown>
#22 0x55bb84535dc8 <unknown>
#23 0x55bb84535fc3 <unknown>
#24 0x55bb84546944 <unknown>
#25 0x7fefc62a0ac3 <unknown>
"
Gapianne annonce une levée de fonds de 900 000€,900 000€,27/06/2023,https://www.jaimelesstartups.fr/news/gapianne-annonce-une-levee-de-fonds-de-900-000e/,Levée de fonds : 900 000€,"Fondateurs : Marine Boucherit, Anne Cécile Descaillot, Jennifer Mouillot et Victoire Bastide",Nombre d'employés : 6,https://gapianne.com/?utm_source=JaimeLesStartups,https://gapianne.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/gapianne/?originalSubdomain=fr,https://www.facebook.com/gapianne/,https://www.instagram.com/gapianne/,,,,GAPIANNE CLÔTURE UNE LEVÉE DE FONDS DE 900 000€ POUR RÉVOLUTIONNER L’INTIMITÉ FÉMININE,"Could not parse response content as the length limit was reached - CompletionUsage(completion_tokens=3057, prompt_tokens=13329, total_tokens=16386, completion_tokens_details=CompletionTokensDetails(audio_tokens=None, reasoning_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=None, cached_tokens=0))"
MyTroc annonce une levée de fonds d’1 million d’euros,1M,09/12/2022,https://www.jaimelesstartups.fr/news/mytroc-annonce-une-levee-de-fonds-dun-million-deuros/,Levée de fonds : 1M,"Fondateurs : Floriane Addad, Judicaël Decriem, Tiphaine Bezard",Nombre d'employés : 13,https://https//mytroc.pro/?utm_source=JaimeLesStartups,https://https//mytroc.pro/?utm_source=JaimeLesStartups,False,https://www.linkedin.com/company/mytroc/,,https://www.instagram.com/mytroc.fr/?hl=fr,,,,DANS LA GREENTECH LES FEMMES LÈVENT AUSSI DES FONDS !,"Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=122.0.6261.69)
Stacktrace:
#0 0x55fddb036793 <unknown>
#1 0x55fddad2a1c6 <unknown>
#2 0x55fddad221e3 <unknown>
#3 0x55fddad121cb <unknown>
#4 0x55fddad13625 <unknown>
#5 0x55fddad124e5 <unknown>
#6 0x55fddad113e9 <unknown>
#7 0x55fddad11274 <unknown>
#8 0x55fddad0fcf4 <unknown>
#9 0x55fddad1028a <unknown>
#10 0x55fddad2c97e <unknown>
#11 0x55fddadb6985 <unknown>
#12 0x55fddad973d2 <unknown>
#13 0x55fddadb5dd9 <unknown>
#14 0x55fddad97173 <unknown>
#15 0x55fddad682d3 <unknown>
#16 0x55fddad68c9e <unknown>
#17 0x55fddaffa8cb <unknown>
#18 0x55fddaffe745 <unknown>
#19 0x55fddafe72e1 <unknown>
#20 0x55fddafff2d2 <unknown>
#21 0x55fddafcb17f <unknown>
#22 0x55fddb024dc8 <unknown>
#23 0x55fddb024fc3 <unknown>
#24 0x55fddb035944 <unknown>
#25 0x7f3f93288ac3 <unknown>
"
